MONTH,CROWN_RECEIPTS,CROWN_DISPOSALS,CROWN_OUTSTANDING,MAGS_RECEIPTS,MAGS_DISPOSALS,MAGS_OUTSTANDING,MAGS_CHARGE TO DISPOSAL,CIVIL_CLAIMS_RECEIVED,CIVIL_DEFENCES,SMALL_CLAIMS_WEEKS,PRIVATE_RECEIPTS,PRIVATE_DISPOSALS,PRIVATE_OUTSTANDING,PRIVATE_RECEIPT TO FINAL ORDER_S8 CARE ORDERS,PUBLIC_RECEIPTS,PUBLIC_DISPOSALS,PUBLIC_OUTSTANDING,PUBLIC_TIME TO DISPOSAL_S31 CARE & SUPERVISION ORDERS,ET_RECEIPTS,ET_DISPOSALS,ET_OUTSTANDING,ET_AVERAGE CLEARANCE TIME SINGLE CLAIMS,IA_RECEIPTS,IA_DISPOSALS,IA_OUTSTANDING,IA_RECEIPT TO DISPOSAL,SSCS_RECEIPTS,SSCS_DISPOSALS,SSCS_OUTSTANDING,SSCS_AGE OF DISPOSAL
01-Apr-19,8956,8251,33670,120570,124352,301046,7.8,148604,27093,36.1,10061,8612,45931,26.9,2861,2203,16640,31.9,3024,2080,31631,28.2,3662,4084,24791,34.7,16557,16388,119150,30.5
01-May-19,9016,9116,33567,131478,133341,299158,8.3,172144,25931,35.6,10652,8746,46507,27.6,3042,2268,16619,33.1,3457,2298,32584,28.7,3231,4545,23995,34,14795,18872,115377,29
01-Jun-19,8515,8155,33920,124928,119809,304319,8.3,145627,23407,36.9,9892,8151,46620,27.1,2722,2140,16644,34.1,2961,2211,33177,29.9,3035,4252,23186,32.4,12567,17420,110538,29.3
01-Jul-19,9849,9236,34528,137135,140959,300426,8.5,197171,29305,36.5,11948,10143,47415,27.3,3202,2322,16865,33.9,3562,2140,34184,29.2,3964,5325,21721,34.1,13471,19042,104963,29.6
01-Aug-19,8820,8520,34815,122686,124211,298944,7.9,198714,26798,37.7,10451,8962,47749,26.9,2838,1951,17280,32.6,3447,2492,36722,31.5,3417,4283,20873,32.5,12203,16329,100854,29.9
01-Sep-19,8723,8644,34887,126070,124625,300328,9.8,152725,24406,38.6,10564,8829,48557,29,2504,1988,17494,33.9,3462,2384,38138,30.3,3136,4351,20267,31,10715,15624,95821,31.6
01-Oct-19,9893,8802,35955,142106,137534,304916,8.7,190301,25607,37.2,11373,9337,49581,28.9,3077,2300,17900,33.1,3829,2776,38163,32.2,3598,4302,18698,28.9,16914,16693,95866,32.7
01-Nov-19,9390,8933,36398,120563,126918,298607,7.6,163935,25258,36.8,10672,8893,50686,28.8,2823,2101,18238,34.4,3806,3153,37725,33.5,3769,4031,19538,28.9,18992,15904,98964,31.7
01-Dec-19,8238,7099,37509,110983,101461,308074,7.9,124279,24954,36.1,9072,7501,51559,28,2482,1986,18558,33.8,3615,2847,37699,34,3673,3598,19433,27.5,11709,12104,98544,31.6
01-Jan-20,10049,9122,38411,138083,131737,314603,8.6,196601,25588,39.7,11108,8773,51906,29.9,2621,1937,18841,33.9,3848,3488,36315,35.1,3216,4202,19173,26.6,11855,17436,93223,32.2
01-Feb-20,9234,8400,39218,124182,120623,318006,,170180,26125,39.1,10737,8001,53844,31.1,2787,1856,19367,35.2,3554,4019,35653,35.9,3525,3448,19369,26.2,10966,15118,89139,30.9
01-Mar-20,7956,7121,40037,119283,98545,338675,,122620,29084,38.8,9666,6270,56378,29.6,2620,1618,19958,36,4080,3410,36758,32.2,3669,3392,19533,25.1,9126,12988,85557,30.3
01-Apr-20,3602,3171,40459,78103,25137,391615,,29850,11431,39.4,,,,,,,,,3996,1850,39241,27.6,1031,1648,19653,28.6,5612,7994,84305,30.5
