Date,OutstandingCases,Receipts,Disposals,Acases,Sdays,Disprate
Jan-20,20000,2940,3325,-385,950,3.5
Feb-20,19615,2730,2625,105,750,3.5
Mar-20,19720,3462,3290,172,940,3.5
Apr-20,19892,1113,1575,-462,450,3.5
May-20,19430,523,805,-282,230,3.5
Jun-20,19148,992,735,257,210,3.5
Jul-20,19405,1467,665,802,190,3.5
Aug-20,20207,1887,840,1047,240,3.5
Sep-20,21254,1360,1085,275,310,3.5
Oct-20,21529,1687,1435,252,410,3.5
Nov-20,21781,2273,1820,453,520,3.5
Dec-20,22234,2578,1715,863,490,3.5
Jan-21,23097,2419,1785,634,510,3.5
Feb-21,23731,3639,1715,1924,490,3.5
Mar-21,25655,4290,2135,2155,610,3.5
Apr-21,27810,5945,2275,3670,650,3.5
May-21,31480,3832,2450,1382,700,3.5
Jun-21,32862,2928,2800,128,800,3.5
Jul-21,32990,3686,2625,1061,750,3.5
Aug-21,34051,2953,3150,-197,900,3.5
Sep-21,33854,3123,3500,-377,1000,3.5
Oct-21,33477,2649,3325,-676,950,3.5
Nov-21,32801,2864,3675,-811,1050,3.5
Dec-21,31990,2732,3150,-418,900,3.5
Jan-22,31572,2275,3500,-1225,1000,3.5
Feb-22,30347,2100,3325,-1225,950,3.5
,2,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
